Chapter,Email_Type,Email
Nu Iota,Basileus,NuIotaBasileus@oppf.org
Nu Iota,KRS,NuIotaKRS@oppf.org
Nu Iota Iota,Basileus,NuIotaIotaBasileus@oppf.org
Nu Iota Iota,KRS,NuIotaIotaKRS@oppf.org
Nu Kappa,Basileus,NuKappaBasileus@oppf.org
Nu Kappa,KRS,NuKappaKRS@oppf.org
Nu Kappa Kappa,Basileus,NuKappaKappaBasileus@oppf.org
Nu Kappa Kappa,KRS,NuKappaKappaKRS@oppf.org
Nu Lambda,Basileus,NuLambdaBasileus@oppf.org
Nu Lambda,KRS,NuLambdaKRS@oppf.org
Nu Lambda Lambda,Basileus,NuLambdaLambdaBasileus@oppf.org
Nu Lambda Lambda,KRS,NuLambdaLambdaKRS@oppf.org
Nu Mu,Basileus,NuMuBasileus@oppf.org
Nu Mu,KRS,NuMuKRS@oppf.org
Nu Mu Mu,Basileus,NuMuMuBasileus@oppf.org
Nu Mu Mu,KRS,NuMuMuKRS@oppf.org
Nu Mu Nu,Basileus,NuMuNuBasileus@oppf.org
Nu Mu Nu,KRS,NuMuNuKRS@oppf.org
Nu Nu,Basileus,NuNuBasileus@oppf.org
Nu Nu,KRS,NuNuKRS@oppf.org
Nu Nu Nu,Basileus,NuNuNuBasileus@oppf.org
Nu Nu Nu,KRS,NuNuNuKRS@oppf.org
Nu Omega,Basileus,NuOmegaBasileus@oppf.org
Nu Omega,KRS,NuOmegaKRS@oppf.org
Nu Omicron,Basileus,NuOmicronBasileus@oppf.org
Nu Omicron,KRS,NuOmicronKRS@oppf.org
Nu Phi,Basileus,NuPhiBasileus@oppf.org
Nu Phi,KRS,NuPhiKRS@oppf.org
Nu Pi,Basileus,NuPiBasileus@oppf.org
Nu Pi,KRS,NuPiKRS@oppf.org
Nu Psi,Basileus,NuPsiBasileus@oppf.org
Nu Psi,KRS,NuPsiKRS@oppf.org
Nu Rho,Basileus,NuRhoBasileus@oppf.org
Nu Rho,KRS,NuRhoKRS@oppf.org
Nu Sigma,Basileus,NuSigmaBasileus@oppf.org
Nu Sigma,KRS,NuSigmaKRS@oppf.org
Nu Tau,Basileus,NuTauBasileus@oppf.org
Nu Tau,KRS,NuTauKRS@oppf.org
Nu Theta,Basileus,NuThetaBasileus@oppf.org
Nu Theta,KRS,NuThetaKRS@oppf.org
Nu Upsilon,Basileus,NuUpsilonBasileus@oppf.org
Nu Upsilon,KRS,NuUpsilonKRS@oppf.org
Nu Xi,Basileus,NuXiBasileus@oppf.org
Nu Xi,KRS,NuXiKRS@oppf.org
Nu Zeta,Basileus,NuZetaBasileus@oppf.org
Nu Zeta,KRS,NuZetaKRS@oppf.org
Omega Alpha Alpha,Basileus,OmegaAlphaAlphaBasileus@oppf.org
Omega Alpha Alpha,KRS,OmegaAlphaAlphaKRS@oppf.org
Omega Beta,Basileus,OmegaBetaBasileus@oppf.org
Omega Beta,KRS,OmegaBetaKRS@oppf.org
Omega Beta Beta,Basileus,OmegaBetaBetaBasileus@oppf.org
Omega Beta Beta,KRS,OmegaBetaBetaKRS@oppf.org
Omega Chi,Basileus,OmegaChiBasileus@oppf.org
Omega Chi,KRS,OmegaChiKRS@oppf.org
Omega Delta,Basileus,OmegaDeltaBasileus@oppf.org
Omega Delta,KRS,OmegaDeltaKRS@oppf.org
Omega Delta Delta,Basileus,OmegaDeltaDeltaBasileus@oppf.org
Omega Delta Delta,KRS,OmegaDeltaDeltaKRS@oppf.org
Omega Epsilon,Basileus,OmegaEpsilonBasileus@oppf.org
Omega Epsilon,KRS,OmegaEpsilonKRS@oppf.org
Omega Eta,Basileus,OmegaEtaBasileus@oppf.org
Omega Eta,KRS,OmegaEtaKRS@oppf.org
Omega Gamma,Basileus,OmegaGammaBasileus@oppf.org
Omega Gamma,KRS,OmegaGammaKRS@oppf.org
Omega Gamma Gamma,Basileus,OmegaGammaGammaBasileus@oppf.org
Omega Gamma Gamma,KRS,OmegaGammaGammaKRS@oppf.org
Omega Iota Iota,Basileus,OmegaIotaIotaBasileus@oppf.org
Omega Iota Iota,KRS,OmegaIotaIotaKRS@oppf.org
Omega Kappa,Basileus,OmegaKappaBasileus@oppf.org
Omega Kappa,KRS,OmegaKappaKRS@oppf.org
Omega Kappa Kappa,Basileus,OmegaKappaKappaBasileus@oppf.org
Omega Kappa Kappa,KRS,OmegaKappaKappaKRS@oppf.org
Omega Lambda,Basileus,OmegaLambdaBasileus@oppf.org
Omega Lambda,KRS,OmegaLambdaKRS@oppf.org
Omega Lambda Lambda,Basileus,OmegaLambdaLambdaBasileus@oppf.org
Omega Lambda Lambda,KRS,OmegaLambdaLambdaKRS@oppf.org
Omega Mu,Basileus,OmegaMuBasileus@oppf.org
Omega Mu,KRS,OmegaMuKRS@oppf.org
Omega Mu Mu,Basileus,OmegaMuMuBasileus@oppf.org
Omega Mu Mu,KRS,OmegaMuMuKRS@oppf.org
Omega Mu Nu,Basileus,OmegaMuNuBasileus@oppf.org
Omega Mu Nu,KRS,OmegaMuNuKRS@oppf.org
Omega Nu,Basileus,OmegaNuBasileus@oppf.org
Omega Nu,KRS,OmegaNuKRS@oppf.org
Omega Pi,Basileus,OmegaPiBasileus@oppf.org
Omega Pi,KRS,OmegaPiKRS@oppf.org
Omega Theta,Basileus,OmegaThetaBasileus@oppf.org
Omega Theta,KRS,OmegaThetaKRS@oppf.org
Omega Xi,Basileus,OmegaXiBasileus@oppf.org
Omega Xi,KRS,OmegaXiKRS@oppf.org
Omega Zeta,Basileus,OmegaZetaBasileus@oppf.org
Omega Zeta,KRS,OmegaZetaKRS@oppf.org
Omicron,Basileus,OmicronBasileus@oppf.org
Omicron,KRS,OmicronKRS@oppf.org
Omicron Alpha,Basileus,OmicronAlphaBasileus@oppf.org
Omicron Alpha,KRS,OmicronAlphaKRS@oppf.org
Omicron Alpha Alpha,Basileus,OmicronAlphaAlphaBasileus@oppf.org
Omicron Alpha Alpha,KRS,OmicronAlphaAlphaKRS@oppf.org
Omicron Beta,Basileus,OmicronBetaBasileus@oppf.org
Omicron Beta,KRS,OmicronBetaKRS@oppf.org
Omicron Beta Beta,Basileus,OmicronBetaBetaBasileus@oppf.org
Omicron Beta Beta,KRS,OmicronBetaBetaKRS@oppf.org
Omicron Chi,Basileus,OmicronChiBasileus@oppf.org
Omicron Chi,KRS,OmicronChiKRS@oppf.org
Omicron Delta,Basileus,OmicronDeltaBasileus@oppf.org
Omicron Delta,KRS,OmicronDeltaKRS@oppf.org
Omicron Delta Delta,Basileus,OmicronDeltaDeltaBasileus@oppf.org
Omicron Delta Delta,KRS,OmicronDeltaDeltaKRS@oppf.org
Omicron Epsilon,Basileus,OmicronEpsilonBasileus@oppf.org
Omicron Epsilon,KRS,OmicronEpsilonKRS@oppf.org
Omicron Eta,Basileus,OmicronEtaBasileus@oppf.org
Omicron Eta,KRS,OmicronEtaKRS@oppf.org
Omicron Gamma,Basileus,OmicronGammaBasileus@oppf.org
Omicron Gamma,KRS,OmicronGammaKRS@oppf.org
Omicron Gamma Gamma,Basileus,OmicronGammaGammaBasileus@oppf.org
Omicron Gamma Gamma,KRS,OmicronGammaGammaKRS@oppf.org
